blank,name,cost,effect
,Phantom Energy,1,"During this duel, your Ghost-type Pokémon can move over Pokémon affected by special conditions when using an MP move. In addition, when one or more of your Ghost-type Pokémon surround an opposing Pokémon, if there are three or more opposing Pokémon on the field or on your opponent's bench with the same name as the surrounded Pokémon, remove the surrounded Pokémon from the game. Your turn ends"
,Steel Energy,1,"During this duel, your Steel-type Pokémon cannot become poisoned or noxious and the damage of one of each of those Pokémon's most highly damaging White Attacks that normally deal at least 10 damage is increased by 10. Your turn ends."
,Poison Blade,1,"Select one of your Steel-type Pokémon on the field. While that Pokémon is on the field, the White Attacks of that Pokémon gain: The battle opponent becomes Poisoned."
,Muscle Energy,1,"Remove the sleep and frozen conditions, MP-1 and MP-2 markers and Wait from all of your Fighting-type Pokémon. During this duel, your Fighting-type Pokémon gain +2 damage for each time any of your Fighting-type Pokemon have been knocked out during this duel. Your turn ends."
,Mud Energy,1,"During this duel, if there are 2 or more Water-type Pokémon and 2 or more Ground-type Pokémon on the field, your opponent's Pokémon on the field get +3 to Wait effects that they receive. Your turn ends."
,Electro Energy,1,"Removes the paralyzed condition from all of your Electric-type Pokémon. During this duel, if one of your Electric-type Pokémon would deal damage, and there is an Electric-type Pokémon adjacent to it, that damage increased by 10. Your turn ends."
,Molting Energy,1,"During this duel, whenever one of your Bug-type or Flying-type Pokémon moves from the P.C. to the bench, it can evolve and remove its Wait condition. Your turn ends."
,Eon Flute,1,"This plate can be used if your Latias or Latios have been excluded from the duel. Select one of your excluded Latias or Latios, place it on your bench, and Mega Evolve it for 7 turns (even if you control another Mega Evolved Pokemon)."
,Metal Coat,1,"Choose one of your Onix, Scyther, or Steel-type Pokémon on the field. If you choose Onix or Scyther, evolve it. Until the end of the duel, battle opponents of the Pokémon you chose, or the Pokémon that evolved from it, have the effects of their Abilities that increase or decrease Attack damage nullified. This ends your turn."
,Golden Module,2,"Choose one of your Genesect on the field or bench. For this turn, that Pokémon's Purple Attack becomes the Gold Attack Extreme Speed 100. Also, if a battle opponent knocked out by that Pokémon is a Dark or Fairy-type Pokémon, that battle opponent is excluded from the duel."
,Metal Sphere,1,"Choose one of your Steel-type Pokémon. Until the end of the duel, while that Pokémon is on the field, your Steel-type Pokémon do not become poisoned or noxious and their White Attacks that deal 10 or more damage deal +10 damage. Your turn end.s The effects of this plate do not stack."
,Phantom Sphere,1,"Choose one of your Ghost-type Pokémon. Until the end of the duel, while that Pokémon is on the field, your Ghost-type Pokémon on the bench can move past Ghost-type Pokémon and Pokémon affected by special conditions. Your turn ends."
,Flame Sphere,1,"Choose one of your Fire-type Pokémon. Until the end of the duel, while that Pokémon is on the field, your Fire-type Pokémon do not become frozen or burned, and they can MO move past burned Pokémon on the field. Your turn ends."
,Electro Sphere,1,"Choose one of your Electric-type Pokémon. Until the end of the duel, while that Pokémon is on the field, your Electric-type Pokémon deal +10 damage for each Electric-type Pokémon next to them. Your Electric-type Pokémon can MP move past Pokémon that have Wait. Your turn ends. The effects of this plate do note stack."
,Winged Sphere,1,"Choose one of your Bug-type Pokémon or Flying-type Pokémon. Until the end of the duel, while that Pokémon is on the field, your Stage 1 or higher Bug- or Flying-type Pokémon may MP move over opposing non-Flying-type Pokémon. Your turn ends"
,Mystic Sphere,1,"Choose 1 of your Fairy-type Pokémon. Until the end of the duel, while that Pokémon is on the field, your Fairy-type Pokémon cannot have markers attached to them from the Attacks of other Pokémon. Your turn ends."
,Mighty Sphere,1,"Choose one of your Fighting-type Pokémon. Until the end of the duel, while that Pokémon is on the field, opposing Pokémon surrounded by your Fighting-type Pokémon move to your P.C. Your turn ends."
,Dark Sphere,1,"Choose one of your Dark-type Pokémon. Until the end of the duel, while that Pokémon is on the field, opposing Ghost-type Pokémon and Psychic-type Pokémon cannot pass through your Dark-type Pokémon by the effects of Abilities. Your turn ends."
,DNA Splicers,1,"Choose one of your Kyurem on the field, and one of your Zekrom or Reshiram on the field or bench in the P.C.. Exclude that Zekrom or Reshiram from the duel, and change form of Kyurem to Black Kyurem or White Kyurem."
,Microwave Oven,1,"Choose one of your Rotom, Wash Rotom, Frost Rotom, Fan Rotom or Mow Rotom on the field and change its form to Heat Rotom. Removes the burned condition from all Pokémon. All Pokémon become Fire-type Pokémon for 9 turns."
,Washing Machine,1,"Choose one of your Rotom, Heat Rotom, Frost Rotom, Fan Rotom, or Mow Rotom on the field and change its form to Wash Rotom. Remove the poisoned condition from all Pokémon. All Pokémon become Water-type Pokémon for 9 turns."
,Refrigerator,1,"Choose one of your Rotom, Heat Rotom, Wash Rotom, Fan Rotom or Mow Rotom on the field and change its form to Frost Rotom. Removes the burned condition from all Pokémon. All Pokémon become Ice-type Pokémon for 9 turns."
,Electric Fan,1,"Choose one of your Rotom, Heat Rotom, Wash Rotom, Frost Rotom or Mow Roton on the field and change its form to Fan Rotom. Removes the Wait Condition from all Pokémon. All Pokémon become Flying-type Pokémon for 9 turns"
,Lawnmower,1,"Choose one of your Rotom, Heat Rotom, Wash Rotom, Frost Rotom or Fan Rotom on the field and change its form to Mow Rotom. Remove the asleep condition from all Pokémon. All Pokémon become Grass-type Pokémon for 9 turns"
,Gracidea,2,"Choose one of your Shaymin on the field and change its form to Sky Forme. If any of your Sharmin becomes knocked out, this plate returns to its unused state"
,Stony Sphere,1,"Choose one of your Rock-type Pokémon. Until the end of the duel, while that Pokémon is on the field, opposing Flying-type Pokémon and Fairy-type Pokémon cannot pass through your Rock-type Pokémon by the effects of Abilities. Your turn ends."
,Meteoric Teachings,2,"This plate can be used when none of your Pokémon are Mega Evolved. Choose one of your Rayquaza on the field, and Mega Evolve it for 7 turns. That Rayquaza's Break Energy becomes Dragon Ascent 90 until the duel ends. If any of your Rayquaza or Mega Rayquaza become knocked out, this plate returns to its unused state."
,Dragon Sphere,1,"Choose one of your Dragon-type Pokémon. Until the end of the duel, while that Pokémon is on the field, your Dragon-type Pokémon with MP 1 or lower get +1 MP. If those Pokémon are not affected by a special condition, they can MP move over other Pokémon on the field. Your turn ends"
,Blue Orb,2,Choose one of your Kyogre on the bench. It undergoes Primal Reversion
,Red Orb,2,Choose one of your Groudon on the bench. It undergoes Primal Reversion
,Aqua Sphere,1,"Choose one of your Water-type Pokémon. Until the end of the duel, while that Pokémon is on the field, your Water-type Pokémon that are next to Water-type Pokémon gain +1 MP (to a maximum of MP3) Your turn ends"
,Grass Sphere,1,"Choose one of your Grass-type Pokémon. Until the end of the duel, while that Pokémon is on the field, your Grass-type Pokémon do not move from effects of opposing Attacks that would move them to the bench, P.C., or the Ultra Space. Your turn ends."
,Soul Dew,1,"Choose one of your Latias or Latios on the field. While that Pokémon is on the field, it deals +30 damage. Your turn ends"
,Venom Sphere,1,"Choose one of your Poison-type Pokémon. Until the end of the duel, while that Pokémon is on the field, the effects of Abilities of opposing Pokémon that are poisoned or noxious that increase or decrease Attack damage are nullified. Your turn ends."
,Necroizer,1,"Choose one of your Necrozma on the field and one of your Solgaleo or Lunala on the field, bench or in the P.C. That Solgaleo or Lunala moves to the Ultra Space and the Necrozma changes its form into Dusk Mane Necrozma or Dawn Wings Necrozma"
,Twisted Spoon,1,"Choose one of your Psychic-type Pokémon on the field. While that Pokémon is on the field, it gains ★+1. Your turn ends."
,Ultra Burst,1,Choose one of your Dusk Mane Necrozma or Dawn Wings Necrozma on the field and change its form to Ultra Necrozma for 7 turns.
,Restorer,1,Choose a Restored Pokémon in your P.C. That Pokémon moves to the bench without gaining Wait. Move one of your Restored Pokémon that has been excluded from the duel to your P.C.
,Primal Sphere,1,"Choose one of your Restored Pokémon. Until the end of the duel, while that Pokémon is on the field, if the number of your own Pokémon on the field, bench and in your P.C. Is lower than the number of the opponent's Pokémon on the field, bench, and in the opponent's P.C., your Restored Pokémon and Pokémon that have evolved from Restored Pokémon deal +30 damage and gain +1 ★. Your turn ends. The effects of this plate do not stack."
,Frost Sphere,1,"Choose one of your Ice-type Pokémon. Until the end of the duel, plates with Sphere in their name, except for Frost Sphere, have their effects negated on opposing Pokémon within 3 steps of that Pokémon. Your turn ends"
,Reveal Glass,1,"Change the form of each Tornadus, Thundurus, and Landorus on the field, if possible. This plate can be used again if the opponent uses a plate that is not Reveal Glass. This ends your turn"
,Silk Sphere,1,"Select one of your Bug-type Pokémon. While this Pokémon is on the field, the Abilities of opposing Pokémon that have an MP-reducing marker attached to them are nullified. This ends your turn."
,Rocky Helmet,1,"Choose one of your Pokemon on the field or bench. If that Pokemon is knocked out by Attack damage on this turn, its battle opponent is also knocked out."
,Air Balloon,1,"Choose one of your Pokemon on the field or bench. Until the end of that Pokemon's next battle, its MP is 2 and it can MP move over other Pokemon on the field."
,Guardian Sphere,1,"Choose one of your Tapu Koko, Tapu Lele, Tapu Bulu, or Tapu Fini. Until the end of the duel, the misses of your Tapu Koko, Tapu Lele, Tapu Bulu, and Tapu Fini become the 2★ Purple Attack ""Nature's Madness"" (Attaches a Final Song marker to the battle opponent: Pokemon with that marker are knocked out after 5 turns), and your Fairy-type Pokemon may MP move through your other Fairy-type Pokemon. Your turn ends."
,White Sphere,1,"Choose one of your Normal-type Pokemon. Until the end of the duel, while that Pokemon is on the field, the Z-Move gause increases of your Normal-type Pokemon when they attack and when they move to the P.C. are doubled. This effect does not stack. Your turn ends."
,Golden Sphere,1,"Choose one of your Ground-type Pokemon. Until the end of the duel, while that Pokemon is on the field, all the White Attacks of your evolved Ground-type Pokemon become Gold Attacks in their first battles after moving to the field. Your turn ends."
,Enrage,1,"Choose one of your Pokemon. Until that Pokemon leaves the field, it deals +20 damage."
,Rally,1,Your Pokemon deal +20 damage during your turn and -10 damage during your opponent's turn until an opponent's Pokemon is knocked out.
,Imbue,2,"Choose one of your Pokemon on the field. It cannot make an MP move this turn and its attacks deal x2 damage until it leaves the field. If this Pokemon knocks out another Pokemon, this Pokemon gains Wait 5."
,Cosmo Sphere,1,"Choose one of your Deoxys. Until the end of the duel, while that Pokemon is on the field, your Deoxys on the field gain this effect: ""Instead of using this Pokemon this turn, you may move one of your Deoxys from the field, bench or Ultra Space next to this Pokemon. Your turn ends."" Your turn ends."
