name,imageFileName,type1color,type1file,type2color,type2file,megafile,movefile,forms,evolutions,move,type1,type2,ability,attack1fill,attack1color,attack1size,attack1range,attack1name,attack1power,attack1effect,attack2fill,attack2color,attack2size,attack2range,attack2name,attack2power,attack2effect,attack3fill,attack3color,attack3size,attack3range,attack3name,attack3power,attack3effect,attack4fill,attack4color,attack4size,attack4range,attack4name,attack4power,attack4effect,attack5fill,attack5color,attack5size,attack5range,attack5name,attack5power,attack5effect,attack6fill,attack6color,attack6size,attack6range,attack6name,attack6power,attack6effect,attack7fill,attack7color,attack7size,attack7range,attack7name,attack7power,attack7effect,attack8fill,attack8color,attack8size,attack8range,attack8name,attack8power,attack8effect,attack9fill,attack9color,attack9size,attack9range,attack9name,attack9power,attack9effect
"Raichu, Alolan",Sprites/026AMS.png,Yellow,TypeLabels/Electric.png,HotPink,TypeLabels/Psychic.png,,mp2.png,,,2,Electric,Psychic,"Cosmic Surfer> At the start of your turn, instead of an MP move, you can move this Pokemon to a spot next to an adjacent Electric-type Pokemon. If there is a succession of Electric-types adjacent to the first, you may instead move this Pokemon to a spot adjacent to them. This ends your turn.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",3,3,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,11,Nuzzle,30,"If this Pokemon is knocked out, the battle opponent becomes paralyzed","rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",3,14,Dodge,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",10,24,Electro Ball,100,"If the battle opponent is paralyzed, deal x2 damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sandshrew, Alolan",Sprites/027AMS.png,Aqua,TypeLabels/Ice.png,CadetBlue,TypeLabels/Steel.png,,mp2.png,,"Sandslash, Alolan",2,Ice,Steel,"Snow Cloak> This Pokemon can MP move past Ice-type Pokemon on the field.
Sand Veil> If this Pokemon is attacked, it can move under the opponent's Pokemon to another space next to it. (A battle does not occur.)","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,1,Miss,,,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",9,10,Protect,,This Pokemon gains Wait,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",14,24,Icicle Spear,30x,Spin again until Icicle Spear does not land - damage is multiplied by the number of Icicle Spear spins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sandslash, Alolan",Sprites/028AMS.png,Aqua,TypeLabels/Ice.png,CadetBlue,TypeLabels/Steel.png,,mp2.png,,,2,Ice,Steel,"Snow Cloak> This Pokemon can MP move past Ice-type Pokemon on the field.
Sand Veil> If this Pokemon is attacked, it can move under the opponent's Pokemon to another space next to it. (A battle does not occur.)","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,1,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",6,7,Earthquake,100,"All Pokemon on the field spin, except this one. If they spin a miss, they are knocked out","rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",5,12,Dodge,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",12,24,Icicle Spear,50x,Spin again until Icicle Spear does not land - damage is multiplied by the number of Icicle Spear spins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nidoran, Female",Sprites/029MS.png,MediumVioletRed,TypeLabels/poison.png,,,,mp2.png,,Nidorina,2,Poison,,"Call for Family> If you have at least one open entry point, you may move a friendly Nidoran, Nidorino, Nidorina or Nidoqueen from the bench or field to a space adjacent to this Pokemon. Your turn ends.","rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",10,10,Horn Attack,70,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",6,16,Poison Sting,★,The battle opponent becomes poisoned.,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",3,19,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",4,23,Band Attack,40x,"This attack deals 40 damage times the number of Nidoran, Nidorino, Nidorina, Nidoqueen and Nidoking within 3 steps of this Pokemon.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,24,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidorina,Sprites/030MS.png,MediumVioletRed,TypeLabels/poison.png,,,,mp2.png,,Nidoqueen,2,Poison,,"Defend the Pack> If a friendly Nidoran, Nidorina or Nidorino within 2 steps of this Pokemon is attacked, this Pokemon may switch places with that Pokemon and battle instead. When this Pokemon wins a battle, you may evolve a Nidoran within 2 steps.","rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,8,Venom Claws,120,"If the battle opponent is already poisoned, then it is knocked out. Otherwise, spin again. If this Pokemon spins this attack again, it is not knocked out, the battle opponent becomes poisoned and gains Wait 3. ","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,10,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",3,13,Horn Drill,★,The battle opponent is knocked out.,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,14,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",6,20,Kick Away,★,The battle opponent is knocked 1 step back and gains Wait.,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",4,24,Dodge,,,,,,,,,,,,,,,,,,,,,,,
Nidoqueen,Sprites/031MS.png,MediumVioletRed,TypeLabels/poison.png,SaddleBrown,TypeLabels/ground.png,,mp2.png,,,2,Poison,Ground,"Queen’s Majesty> Before making an MP move, this Pokemon may switch places with a friendly Nidoran, Nidorino or Nidorina within 2 steps and gain +20 damage until the end of the turn. If this Pokemon has evolved, while this Pokemon is on the field, your Nidoking cannot be eliminated or moved to the Ultra Space.","rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",6,6,Earthquake,140,"All other Pokemon on the field spin. If they spin a Miss, they are knocked out.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,7,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",3,10,Horn Drill,★,The battle opponent is knocked out.,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,11,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",6,17,Crushing Slam,150,Pokemon adjacent to the battle opponent gain Wait 3.,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",7,24,Beat Up,120,"This attack does +30 more damage for each Nidoqueen within 2 steps of the battle opponent. If this attack knocks out a battle opponent while 3 Nidoqueen are within 2 steps of it, eliminate it for 7 turns.",,,,,,,,,,,,,,,,,,,,,
"Nidoran, Male",Sprites/032MS.png,MediumVioletRed,TypeLabels/poison.png,,,,mp2.png,,Nidorino,2,Poison,,"Call for Family> If you have at least one open entry point, you may move a friendly Nidoran, Nidorino, Nidorina or Nidoqueen from the bench or field to a space adjacent to this Pokemon. Your turn ends.","rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",10,10,Horn Attack,70,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",6,16,Poison Sting,★,The battle opponent becomes poisoned.,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",3,19,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",4,23,Band Attack,40x,"This attack deals 40 damage times the number of Nidoran, Nidorino, Nidorina, Nidoqueen and Nidoking within 3 steps of this Pokemon.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,24,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidorino,Sprites/033MS.png,MediumVioletRed,TypeLabels/poison.png,,,,mp2.png,,Nidoking,2,Poison,,"Assert Dominance> When this Pokemon attacks an opposing Pokemon, compare their highest-damage White or Gold attacks. If this Pokemon’s attack has the highest damage, this Pokemon’s attacks deal +30 damage and its smallest segment (after status effects) becomes a Miss. If the battle opponent has at least 3 Purple segments, this Pokemon’s White attacks become Gold.","rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,8,Megahorn,100,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,10,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",3,13,Horn Drill,★,The battle opponent is knocked out.,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,14,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",5,19,Sludge Bomb,★,One Pokemon within 2 steps of this Pokemon becomes poisoned.,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",2,21,Dodge,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",3,24,Reckless Charge,150,This Pokemon gains Wait 3.,,,,,,,,,,,,,,
Nidoking,Sprites/034MS.png,MediumVioletRed,TypeLabels/poison.png,SaddleBrown,TypeLabels/ground.png,,mp2.png,,,2,Poison,Ground,"King’s Domain> You may only have one Nidoking on the field. If this Pokemon has evolved, this Pokemon deals +50 damage while a Nidoqueen is within 2 steps. Whenever one of your Nidoqueen is knocked out or moved from the field, this Pokemon gains +1MP, +50 damage and +1★ until the end of your next turn. Your Poison-type Pokemon deal +10 damage. When this Pokemon knocks out a poisoned or noxious Pokemon, that Pokemon is eliminated for 7 turns.","rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",8,8,Sludge Wave,★,"All opposing Pokemon within 2 steps are knocked back 1 step and become poisoned. If those Pokemon are already poisoned, they become noxious.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,10,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",4,14,Horn Drill,★,The battle opponent is knocked out.,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",7,21,Poison Jab,130,"If the battle opponent is poisoned or noxious, this attack becomes Gold during this battle.","rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",3,24,Earthquake,140,"All other Pokemon on the field spin. If they spin a Miss, they are knocked out.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vulpix, Alolan",Sprites/037AMS.png,Aqua,TypeLabels/Ice.png,,,,mp3.png,,"Ninetales, Alolan",3,Ice,,"Snowy Transformation> At the start of your turn, instead of an MP move, if this Pokemon is on the field, it may switch with a frozen Pokemon, or if this Pokemon is on the bench, it may switch with one of your frozen Pokemon. If it does, your turn ends.","rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",2,2,Dodge,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",11,13,Ice Beam,60,"If this Pokemon is knocked out, the battle opponent becomes frozen","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,14,Miss,,,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",2,16,Dodge,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",8,24,Baby-Doll Eyes,★,The Blue Attacks of the Pokemon hit by this Attack will be Misses during the next turn,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ninetales, Alolan",Sprites/038AMS.png,Aqua,TypeLabels/Ice.png,DeepPink,TypeLabels/Fairy.png,,mp2.png,,,2,Ice,Fairy,"Snowy Transformation> At the start of your turn, instead of an MP move, if this Pokemon is on the field, it may switch with a frozen Pokemon, or if this Pokemon is on the bench, it may switch with one of your frozen Pokemon. If it does, your turn ends.","rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",1,1,Dodge,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,9,Extrasensory,150,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,10,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",5,15,Freeze-Dry,120,"Deals +50 damage if the battle opponent is a Water-type Pokemon. The battle opponent and all opposing Pokemon adjacent to it spin, and if they spin a Blue Attack, they become frozen","rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",1,16,Dodge,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",8,24,Icy Wind,★,"All adjacent Pokemon on the field that are not Fire-, Water-, Ice-, or Steel-type spin. Attach MP -1 markers to those that spin White Attacks",,,,,,,,,,,,,,,,,,,,,
Jigglypuff,Sprites/039MS.png,DarkGray,TypeLabels/Normal.png,DeepPink,TypeLabels/Fairy.png,,mp2.png,,Wigglytuff,2,Normal,Fairy,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",3,3,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",9,12,Lullaby,★,All neighbor Pokemon fall asleep,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",3,15,Hyper Voice,140,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",9,24,Double Slap,60+,"Spin again - if Double Slap is spun, it deals +20 damage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wigglytuff,Sprites/040MS.png,DarkGray,TypeLabels/Normal.png,DeepPink,TypeLabels/Fairy.png,,mp2.png,,,2,Normal,Fairy,"Hypnotic Voice> The next turn after using this Pokemon, your opponent will be unable to use Plates.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,2,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",6,8,Round,20x,Damage is multiplied by the number of your own Pokemon on the field that also have Round,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",8,16,Sing,★,The battle opponent falls asleep,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,17,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",7,24,Pound,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diglett,Sprites/050MS.png,SaddleBrown,TypeLabels/ground.png,,,,mp2.png,,Dugtrio,2,Ground,,"Diglett Dig!> This Pokemon can MP move past other Pokemon. If you have at least 2 other Diglett on the field and you move this Pokemon into a surround, you may eliminate those Diglett and evolve this Pokemon.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,2,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",6,8,Dig,★★,You can move this Pokemon to an open spot next to an adjacent figure (or adjacent figures in succession to the first).,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,16,Scratch,70,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,18,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",6,24,Scratch,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dugtrio,Sprites/051MS.png,SaddleBrown,TypeLabels/ground.png,,,,mp2.png,,,2,Ground,,"Trio Trio Trio!> This Pokemon can MP move past other Pokemon. If this Pokemon evolved with the effect of ‘Diglett Dig’, it gains +1MP and the following effect: ‘You may MP move this Pokemon then return to play up to 2 eliminated Diglett and place them up to 2 spaces away from this Pokemon in such a way that surrounds at least one opposing Pokemon. When you do, devolve this Pokemon and give all friendly Diglett Wait 2.’","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,1,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",6,7,Dig,★★,You can move this Pokemon to an open spot next to an adjacent figure (or adjacent figures in succession to the first).,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",10,17,Earthquake,120,"All Pokemon on the field spin, except this one. If they spin a miss, they are knocked out ","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,18,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",6,24,Dig,★★,You can move this Pokemon to an open spot next to an adjacent figure (or adjacent figures in succession to the first).,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meowth,Sprites/052MS.png,DarkGray,TypeLabels/Normal.png,,,,mp2.png,,,2,Normal,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",8,8,Fake Out,★★★,This Pokemon switches places with its battle opponent,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",9,17,Scratch,40,,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",5,22,Dodge,,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,24,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mankey,Sprites/056MS.png,Maroon,TypeLabels/fighting.png,,,,mp2.png,,Primeape,2,Fighting,,"Hog Wild> If your opponent attacks this Pokemon and it isn’t knocked out, you may evolve this Pokemon. When an opponent’s Pokemon completes an MP move next to this Pokemon and does not initiate a battle, this Pokemon may move to a space up to 2 steps away and gains Wait.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,2,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,10,Low Kick,80,"If the battle opponent has MP 3 or more, this attack deals x2 damage.","rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",4,14,Hide,,This Pokemon moves back 1 step and gains Wait.,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,22,Pounce,100,The battle opponent is now confused.,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,24,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primeape,Sprites/057MS.png,Maroon,TypeLabels/fighting.png,,,,mp2.png,,,2,Fighting,,"Going Bananas> When this Pokemon knocks out an opposing Pokemon, this Pokemon becomes confused and gains +1MP and +50 Damage until the end of your next turn. Remove confusion from this Pokemon at the end of your next turn after this effect is activated.","rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",10,10,Tantrum,120,"Place a Tantrum marker on one Pokemon within 2 steps of the opponent until the end of your next turn. Any Pokemon with Tantrum on their wheel may MP move past other Pokemon if their movement ends next to an opposing Pokemon with a Tantrum marker and they initiate a battle. When a Pokemon with a Tantrum marker is knocked out, its battle opponent gains Wait 2.","rgb(255,215,0,0.5)","rgb(255,215,0,0.5)",2,12,Mach Punch,90,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",9,21,Hammer Arm,130,This Pokemon gains Wait.,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",3,24,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growlithe,Sprites/058MS.png,Red,TypeLabels/Fire.png,,,,mp3.png,,Arcanine,3,Fire,,Bite Down> The battle opponent of this Pokemon cannot move by effects other than the Attacks of this Pokemon until the end of battle.,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,2,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",7,9,Crunch,90,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,11,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",13,24,Flame Wheel,70,"If this Pokemon is knocked out, the battle opponent becomes burned",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcanine,Sprites/059MS.png,Red,TypeLabels/Fire.png,,,,mp2.png,,,2,Fire,,"Flame Turbine> Can MP move past Fire-type Pokemon and burned Pokemon. If the battle opponent is affected by a special condition, the battle opponent's spins are shifted by one segment clockwise.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,2,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",5,7,Searing Shot,★★,The battle opponent becomes burned,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",6,13,Flare Blitz,80,"If this Pokemon is knocked out, the battle opponent becomes burned","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,14,Miss,,,"rgb(255,215,0,0.5)","rgb(255,215,0,0.5)",10,24,Extreme Speed,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
